no	url	Lat	Lng	Price	DateListed	LastEdit	SelerType	Make	Model	Variant	BodyType	Year	Km	Trans	DriveTrain	Fuel	AC	Cyl	EngLit	Reg	RegExp	RegNum	Country	State
867	https://www.gumtree.com.au//s-ad/berwick/cars-vans-utes/2016-audi-a4-b9-f4-my16-sport-s-tronic-quattro-red-7-speed-sports-automatic-dual-clutch-sedan/1137801360	-38.03999329	145.3483887	73880	 01/03/2017	 18/03/2017	Dealer used	Audi	A4	2.0 TFSI QUATTRO S TRONIC SPT	Sedan	2016	2372	Automatic	All Wheel Drive	Petrol - Premium Unleaded	Yes	4	2	Yes	01-07-17	1ID2XJ	Germany	Victoria
868	https://www.gumtree.com.au//s-ad/burwood/cars-vans-utes/2016-audi-q5-8r-my17-tdi-s-tronic-quattro-sport-edition-black-7-speed-sports-automatic-dual-clutch/1136287667	-37.8510704	145.0987549	62990	 01/03/2017	 01/03/2017	Dealer used	Audi	Q5	2.0 TDI QUATTRO	Wagon	2016	3800	Automatic	All Wheel Drive	Diesel	Yes	4	2	Yes	01-09-17	AJY364	Germany	Victoria
869	https://www.gumtree.com.au//s-ad/hobart-cbd/cars-vans-utes/2016-audi-sq5-8r-my16-tdi-tiptronic-quattro-grey-8-speed-sports-automatic-wagon/1129335651	-42.8821373	147.3271942	98990	 02/03/2017	 02/03/2017	Dealer used	Audi	SQ5	3.0 TDI QUATTRO	Wagon	2016	6689	Automatic	All Wheel Drive	Diesel	Yes	6	3			F69HT	Germany	Tasmania
870	https://www.gumtree.com.au//s-ad/burwood/cars-vans-utes/2016-audi-q7-4m-my16-tdi-tiptronic-quattro-black-8-speed-sports-automatic-wagon/1139251438	-37.8510704	145.0987549	101990	 02/03/2017	 02/03/2017	Dealer used	Audi	Q7	3.0 TDI QUATTRO	Wagon	2016	6878	Automatic	All Wheel Drive	Diesel	Yes	6	3	Yes	01-07-17	1JA3VH	Germany	Victoria
871	https://www.gumtree.com.au//s-ad/hobart-cbd/cars-vans-utes/2016-audi-q3-8u-my17-tfsi-s-tronic-grey-6-speed-sports-automatic-dual-clutch-wagon/1139289152	-42.8821373	147.3271942	45990	 02/03/2017	 02/03/2017	Dealer used	Audi	Q3	1.4 TFSI (110kW)	Wagon	2016	5478	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	1			F07DQ	Germany	Tasmania
872	https://www.gumtree.com.au//s-ad/burwood/cars-vans-utes/2016-audi-q7-4m-my17-tdi-tiptronic-quattro-blue-8-speed-sports-automatic-wagon/1136341885	-37.8510704	145.0987549	118990	 02/03/2017	 02/03/2017	Dealer used	Audi	Q7	3.0 TDI QUATTRO	Wagon	2016	4006	Automatic	All Wheel Drive	Diesel	Yes	6	3			ALJ373	Germany	Victoria
873	https://www.gumtree.com.au//s-ad/burwood/cars-vans-utes/2016-audi-a4-b9-f4-my16-sport-s-tronic-quattro-white-7-speed-sports-automatic-dual-clutch-sedan/1113141342	-37.8510704	145.0987549	69990	 02/03/2017	 07/03/2017	Dealer used	Audi	A4	2.0 TFSI QUATTRO S TRONIC SPT	Sedan	2016	5285	Automatic	All Wheel Drive	Petrol - Premium Unleaded	Yes	4	2	No	01-02-17	AHK841	Germany	Victoria
874	https://www.gumtree.com.au//s-ad/berwick/cars-vans-utes/2016-audi-q3-8u-my16-tfsi-s-tronic-quattro-sport-black-7-speed-sports-automatic-dual-clutch-wagon/1127265778	-38.03999329	145.3483887	54880	 02/03/2017	 17/02/2017	Dealer used	Audi	Q3	2.0 TFSI SPORT QUATTRO (132kW)	Wagon	2016	2305	Automatic	All Wheel Drive	Petrol - Premium Unleaded	Yes	4	2			AKK193	Germany	Victoria
875	https://www.gumtree.com.au//s-ad/berwick/cars-vans-utes/2016-audi-q7-4m-my16-tdi-tiptronic-quattro-grey-8-speed-sports-automatic-wagon/1122788396	-38.03999329	145.3483887	104880	 02/03/2017	 17/02/2017	Dealer used	Audi	Q7	3.0 TDI QUATTRO	Wagon	2016	2016	Automatic	All Wheel Drive	Diesel	Yes	6	3			AJV118	Germany	Victoria
876	https://www.gumtree.com.au//s-ad/keilor-downs/cars-vans-utes/audi-a4-b7-2005-2-0l/1138787343	-37.720604	144.8041	7000	 11/02/2017	 26/02/2017	Private seller	Audi	A4	2.0 SPORTS EDITION	Sedan	2005	190000	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	2	Yes	11-07-17	YLC550	Germany	Victoria
